1,2,3,4,5,6,7,8,9,10
0.664693,0.665111,0.66537,0.665645,0.666025,0.66629,0.66652,0.666673,0.66699,0.667181
0.666433,0.66679,0.667152,0.667279,0.667691,0.667824,0.667867,0.668179,0.668502,0.668656
0.667433,0.667737,0.667977,0.668262,0.668484,0.668753,0.669266,0.669347,0.669513,0.669725
0.668422,0.668784,0.669027,0.669254,0.669621,0.669688,0.67007,0.670207,0.670524,0.670744
0.669151,0.669569,0.669691,0.670001,0.670361,0.67057,0.670879,0.671364,0.671262,0.671383
0.669769,0.670079,0.670268,0.670411,0.670584,0.67093,0.671248,0.671566,0.671887,0.671935
0.670249,0.671004,0.67104,0.671349,0.67197,0.671869,0.671955,0.672485,0.672582,0.672445
0.670233,0.670452,0.670763,0.67092,0.671145,0.671286,0.671541,0.671689,0.67199,0.672114
0.670101,0.670417,0.671621,0.6712,0.671308,0.671243,0.671628,0.671757,0.672009,0.672101
0.669717,0.670232,0.670412,0.670653,0.670835,0.671201,0.671313,0.671493,0.67179,0.671837
0.669802,0.670235,0.670374,0.670712,0.670918,0.671011,0.671239,0.671492,0.671598,0.671838
0.66929,0.669742,0.670053,0.670413,0.670555,0.670662,0.671014,0.671183,0.671517,0.671615
0.669101,0.669698,0.669887,0.670143,0.670393,0.670616,0.670714,0.671003,0.671201,0.6714
0.6698,0.670215,0.670442,0.670386,0.67045,0.67139,0.671585,0.671501,0.671532,0.671327
0.669128,0.669415,0.669885,0.669984,0.670242,0.670447,0.670663,0.670897,0.67108,0.671119
0.669017,0.669578,0.670091,0.670999,0.670375,0.670604,0.671046,0.671068,0.67113,0.671075
0.668951,0.669237,0.669822,0.670057,0.670882,0.67065,0.670792,0.671171,0.671178,0.671293
0.669603,0.670166,0.670829,0.67082,0.671001,0.670725,0.670745,0.670985,0.67152,0.671138
0.669451,0.670731,0.670112,0.67099,0.670424,0.670469,0.670553,0.670868,0.670903,0.671012
0.669932,0.670761,0.670082,0.670705,0.670527,0.670971,0.671173,0.671233,0.67153,0.671187
0.668901,0.669404,0.670483,0.670321,0.671102,0.671324,0.670873,0.671017,0.671094,0.671138
0.670323,0.670684,0.670429,0.670277,0.670623,0.670815,0.67053,0.670775,0.671342,0.670952
0.668488,0.668679,0.669087,0.669234,0.669709,0.669844,0.67011,0.670289,0.670445,0.670529
0.668462,0.668942,0.669275,0.669376,0.669669,0.669922,0.670139,0.670266,0.670583,0.670694
0.668641,0.669119,0.669347,0.669534,0.669665,0.67005,0.670412,0.670515,0.670631,0.670794
0.668545,0.668979,0.669099,0.669307,0.669518,0.669807,0.669839,0.670046,0.670332,0.670358
0.668167,0.66885,0.669918,0.669171,0.669122,0.669499,0.67081,0.670541,0.670491,0.670204
0.668438,0.668907,0.669176,0.669316,0.669389,0.669589,0.66986,0.669962,0.670155,0.670059
0.669034,0.669251,0.669382,0.669731,0.669933,0.670276,0.670962,0.670559,0.670602,0.670551
0.669094,0.669324,0.66964,0.66977,0.66998,0.670166,0.670265,0.670488,0.670758,0.670715
0.669585,0.669629,0.669999,0.670147,0.670866,0.670621,0.671137,0.670892,0.670855,0.671111
0.670274,0.669904,0.669907,0.670398,0.670489,0.670645,0.670793,0.671527,0.670749,0.670945
0.669648,0.670124,0.670595,0.670561,0.671016,0.671014,0.671165,0.671114,0.671282,0.671452
0.670277,0.670471,0.670414,0.670701,0.671065,0.671166,0.671376,0.671614,0.67205,0.672421
0.670729,0.671159,0.671372,0.671445,0.671597,0.671388,0.671635,0.671762,0.671983,0.672152
0.670744,0.672107,0.671663,0.671608,0.672204,0.671612,0.671842,0.671927,0.672181,0.672395
0.670457,0.670864,0.671105,0.671226,0.674678,0.671668,0.671823,0.67206,0.672121,0.672291
0.670387,0.671078,0.671063,0.671375,0.671494,0.671814,0.671721,0.672036,0.672134,0.67197
0.670309,0.67087,0.67159,0.671122,0.671742,0.672306,0.671477,0.671863,0.671863,0.671983
0.670434,0.671578,0.670998,0.671149,0.671408,0.671778,0.671804,0.671931,0.672046,0.672092
0.670187,0.670974,0.670991,0.671174,0.671365,0.671331,0.671701,0.672024,0.671963,0.672821
0.670273,0.670862,0.670898,0.671275,0.671296,0.671374,0.671551,0.671662,0.671823,0.671952
0.671363,0.671783,0.671895,0.672087,0.672035,0.672105,0.672321,0.672648,0.672823,0.672825
0.670744,0.671124,0.6716,0.671583,0.671697,0.671897,0.672226,0.672388,0.672744,0.672497
0.670821,0.671323,0.671503,0.6716,0.671706,0.671896,0.67218,0.672418,0.6735,0.672558
0.670918,0.671279,0.671613,0.671692,0.672338,0.672372,0.672569,0.672917,0.672399,0.672601
