0.208971,0.209284,0.209593,0.209812,0.209947,0.210116,0.210225,0.210353,0.21047,0.210168
0.20827,0.208751,0.20893,0.209005,0.20934,0.20939,0.209638,0.209726,0.209783,0.209952
0.20862,0.209161,0.209317,0.209597,0.209497,0.209659,0.209984,0.209925,0.210141,0.210291
0.208975,0.2094,0.209588,0.209809,0.209874,0.210099,0.210171,0.210388,0.210475,0.210611
0.209015,0.209424,0.209734,0.209907,0.209979,0.210186,0.210301,0.210507,0.210686,0.210626
0.209027,0.209537,0.209826,0.209873,0.209884,0.210189,0.210204,0.210461,0.210587,0.210601
0.209138,0.209693,0.209804,0.209975,0.210203,0.210468,0.210591,0.210765,0.21085,0.210909
0.209332,0.20955,0.209884,0.209988,0.210117,0.210263,0.210483,0.210551,0.210714,0.210566
0.209373,0.209738,0.209976,0.210141,0.210259,0.210329,0.21068,0.210785,0.210803,0.210954
0.209504,0.210041,0.210178,0.210254,0.210686,0.210762,0.21082,0.211132,0.211082,0.211207
0.209136,0.209565,0.209915,0.209984,0.210319,0.210351,0.210644,0.210704,0.210849,0.211133
0.209416,0.209764,0.210252,0.210257,0.210434,0.210503,0.21073,0.210981,0.211095,0.211168
0.209256,0.209642,0.210024,0.210352,0.210547,0.210663,0.210774,0.21093,0.210966,0.211224
0.209489,0.209802,0.210164,0.210229,0.210387,0.210588,0.210742,0.210932,0.211097,0.210863
0.209879,0.210356,0.210384,0.210542,0.210913,0.210954,0.211027,0.211143,0.211343,0.211459
0.209477,0.209987,0.210199,0.210138,0.210368,0.210509,0.210516,0.210857,0.210894,0.211236
0.209591,0.209979,0.210431,0.210584,0.210702,0.210779,0.210993,0.211146,0.211189,0.211278
0.209582,0.21004,0.210278,0.210476,0.21054,0.210769,0.210975,0.210923,0.211071,0.211196
0.209386,0.209859,0.210112,0.210299,0.210576,0.210723,0.210842,0.210933,0.211108,0.211249
0.209625,0.209821,0.210004,0.210119,0.210377,0.210693,0.210774,0.210631,0.210921,0.210984
0.209031,0.209392,0.209671,0.209958,0.210041,0.209859,0.210284,0.21027,0.210516,0.210578
0.209404,0.209726,0.209951,0.210105,0.210283,0.210293,0.210538,0.210592,0.210843,0.210894
0.209547,0.209822,0.210199,0.210371,0.210429,0.210545,0.210671,0.211036,0.210852,0.210974
0.209484,0.209803,0.210131,0.210158,0.210532,0.210605,0.210769,0.21094,0.211014,0.210965
0.209573,0.210042,0.210209,0.210383,0.210544,0.210748,0.210972,0.210998,0.211086,0.211244
0.209777,0.210124,0.210462,0.210606,0.210815,0.210897,0.211087,0.211215,0.211341,0.211473
0.20972,0.210109,0.210362,0.210552,0.21063,0.211039,0.210964,0.211171,0.211329,0.211479
0.209734,0.210168,0.210392,0.210706,0.210762,0.210954,0.211498,0.210859,0.211055,0.210774
0.21042,0.210702,0.211115,0.211378,0.211505,0.211626,0.211848,0.212072,0.212133,0.212168
0.209866,0.210469,0.210629,0.210656,0.210793,0.211009,0.211182,0.211309,0.211518,0.211478
0.209805,0.210212,0.210455,0.210726,0.210825,0.21097,0.211012,0.210873,0.211234,0.211556
0.209484,0.209783,0.210149,0.210106,0.210409,0.210706,0.210862,0.211039,0.21118,0.210962
0.209529,0.209976,0.210341,0.210462,0.210573,0.210975,0.210928,0.211156,0.211325,0.211331
0.210905,0.211881,0.212125,0.212303,0.212716,0.212871,0.213067,0.213317,0.213372,0.212941
0.209623,0.21005,0.210291,0.210362,0.210638,0.210856,0.210844,0.211081,0.211219,0.211164
0.209682,0.210137,0.210434,0.210528,0.210669,0.210865,0.210851,0.211083,0.211124,0.211735
0.209594,0.210011,0.21036,0.210512,0.2106,0.210855,0.210993,0.21108,0.211155,0.211281
0.209639,0.210019,0.210309,0.21047,0.210629,0.210735,0.210958,0.210948,0.211235,0.211309
0.209867,0.210282,0.210619,0.210794,0.210901,0.211248,0.211295,0.211392,0.211279,0.211608
0.210212,0.210476,0.210796,0.210911,0.211088,0.211402,0.211427,0.211472,0.211606,0.211793
0.209986,0.210224,0.210583,0.210779,0.211045,0.211118,0.211399,0.211315,0.211499,0.211712
